"X","lon","lat","id","Yr","mapped","first_day","last_day","total_fire_days","max_minus_min","size_ha","id_num","diff_day","diff","x","y","xmin","xmax","ymin","ymax"
12,-118.824352390404,59.6477877640489,"HWF182",2015,1,174,183,10,10,1914.3,12,0,0,284587.762476181,6615748.47197277,252587.762476181,316587.762476181,6583748.47197277,6647748.47197277
14,-117.618712484619,59.8208208689738,"HWF200",2015,1,176,186,9,11,8043.4,14,2,2,353229.201673514,6631703.27821586,321229.201673514,385229.201673514,6599703.27821586,6663703.27821586
18,-116.029807658593,57.8956622270208,"HWF213",2015,1,177,184,8,8,9593.4,18,0,0,438977.783479493,6414990.69539099,406977.783479493,470977.783479493,6382990.69539099,6446990.69539099
24,-117.952055389583,59.2605324818844,"HWF237",2015,1,178,186,9,9,14555.6,24,0,0,331783.477062445,6570160.28467373,299783.477062445,363783.477062445,6538160.28467373,6602160.28467373
26,-119.902395146156,59.2190362592573,"HWF248",2015,1,177,189,11,13,13312.7,26,2,2,220411.658555188,6572101.22284775,188411.658555188,252411.658555188,6540101.22284775,6604101.22284775
27,-115.773962171232,58.0578361737624,"HWF249",2015,1,179,189,9,11,4960.9,27,2,2,454344.383032397,6432835.8560365,422344.383032397,486344.383032397,6400835.8560365,6464835.8560365
28,-116.226611822983,57.8024558900125,"HWF258",2015,1,179,193,12,15,13111.1,28,3,3,427128.663980391,6404813.70634577,395128.663980391,459128.663980391,6372813.70634577,6436813.70634577
34,-111.976177426804,55.4879564147469,"LWF161",2015,1,175,193,17,19,11070.1,34,2,2,690966.820259547,6150786.21323694,658966.820259547,722966.820259547,6118786.21323694,6182786.21323694
35,-110.123091381408,56.0051923768765,"LWF175",2015,1,177,191,11,15,11882.5,35,4,4,803861.931172026,6214906.22101208,771861.931172026,835861.931172026,6182906.22101208,6246906.22101208
38,-110.5674139944,57.005343381651,"MWF094",2015,1,177,187,9,11,10842,38,2,2,769014.552785831,6324187.1390736,737014.552785831,801014.552785831,6292187.1390736,6356187.1390736
48,-114.58197564227,55.7054638445547,"SWF163",2015,1,184,196,9,13,7815.1,48,4,4,526258.598236595,6170908.12976528,494258.598236595,558258.598236595,6138908.12976528,6202908.12976528
51,-113.501789444124,58.6553951535054,"2015WB003",2015,1,149,158,9,10,NA,51,1,1,586894.808586909,6500049.75971828,554894.808586909,618894.808586909,6468049.75971828,6532049.75971828
56,-112.100922251409,58.9426820329182,"2015WB014",2015,1,169,186,17,18,NA,56,1,1,666735.407038559,6534669.92188804,634735.407038559,698735.407038559,6502669.92188804,6566669.92188804
57,-111.577142640186,59.0786962559535,"2015WB016",2015,1,170,184,11,15,NA,57,4,4,696068.587255727,6551220.86721892,664068.587255727,728068.587255727,6519220.86721892,6583220.86721892
